type,id,official_root,official_primary_path,precision_mode,anchor_confidence,exam_risk,testable_tasks,board_mastery_focus_title,review_status,reason
"tutorial","cp-micro-methods-ast-studio","Medical Microbiology","Medical Microbiology > Bacteria, including Mycobacteria, Nocardia, and other Aerobic Actinomycetes > Identification Methods and Instrumentation","nearest-valid-deep","moderate","high-yield","recognize | interpret | troubleshoot | select-next-test | manage-critical-result","Bench methods, organism workup, and susceptibility reporting","confirmed","workflow concept distributed across multiple spec nodes"
"tutorial","cp-flow-heme-studio","Hematopathology for Clinical Pathology","Hematopathology for Clinical Pathology > Testing in Hematology and Hematopathology > Flow Cytometry","nearest-valid-deep","moderate","high-yield","recognize | interpret | troubleshoot | select-next-test | manage-critical-result","Flow pattern recognition, marrow interpretation, and urgent hematopathology triage","confirmed","interactive artifact teaches operational interpretation"
"tutorial","cp-dat-transfusion-studio","Blood Banking / Transfusion Medicine","Blood Banking/Transfusion Medicine > Clinical Practice > Autoimmune Hemolytic Anemia","nearest-valid-deep","moderate","high-yield","recognize | interpret | troubleshoot | select-next-test | manage-critical-result","DAT interpretation, hemolysis workup, and transfusion-reaction safety logic","confirmed","workflow concept distributed across multiple spec nodes"
"tutorial","cp-chemical-path-endocrine-studio","Chemical Pathology","Chemical Pathology > The Adrenal Cortex > Adrenocortical Steroids > General Biochemistry and Metabolism of Adrenocortical Steroids","nearest-valid-deep","moderate","medium-yield","recognize | interpret | calculate | select-next-test | quality-regulatory","CAH pathway comparison and endocrine-metabolic chemistry interpretation","confirmed","disease narrower than CP spec"
"tutorial","cp-immune-lipid-studio","Chemical Pathology + Blood Banking/Transfusion Medicine","Chemical Pathology > Lipids, Lipoproteins and Apolipoproteins","cross-domain-governed","moderate","medium-yield","recognize | interpret | select-next-test | quality-regulatory","Immune-significance crossover and lipid-pattern differentiation","confirmed","The lipid branch is governed by Chemical Pathology while the allorecognition branch borrows HLA significance from the transfusion and transplant side of CP. The tutorial is kept together because it teaches mechanism-linked interpretation across those adjacent CP domains."
"module","clinical-path-foundations","Multiple CP roots","Blood Banking/Transfusion Medicine > Clinical Practice","cross-domain-governed","moderate","high-yield","recognize | interpret | select-next-test | manage-critical-result | quality-regulatory","Foundational CP workflow: specimen, result, escalation, and next-step logic","confirmed","This module is intentionally a CP orientation layer spanning the major exam roots before learners branch into deeper single-domain modules."
"module","hematology-red-cell-core","Hematopathology / Laboratory Hematology","Hematopathology > Non-Neoplastic Disorders of Erythrocytes > Anemias","literal","high","high-yield","recognize | interpret | select-next-test | manage-critical-result","Anemia, hemolysis, marrow-linked red-cell reasoning, and escalation cues","confirmed",""
"module","coagulation-hemostasis-core","Hematopathology / Laboratory Hematology","Hematopathology > Hemostasis and Thrombosis > Coagulation and Fibrinolytic Disorders > Factor Deficiency or Functional Abnormalities","literal","high","high-yield","recognize | interpret | calculate | select-next-test | manage-critical-result","Bleeding, clotting, inhibitor, and anticoagulant-monitoring interpretation","confirmed",""
"module","transfusion-cellular-therapy-core","Blood Banking / Transfusion Medicine","Blood Banking/Transfusion Medicine > Clinical Practice","cross-domain-governed","moderate","high-yield","recognize | interpret | select-next-test | manage-critical-result | quality-regulatory","Compatibility, reaction workup, platelet support, HLA, and cellular-therapy decision logic","confirmed","This module is anchored in blood banking and transfusion medicine, but it intentionally includes HLA-linked support and cellular-therapy decision points that cross into adjacent CP governance."
"module","clinical-microbiology-core","Clinical Microbiology","Microbiology > Bacteriology","nearest-valid-deep","moderate","high-yield","recognize | interpret | troubleshoot | select-next-test | manage-critical-result","Specimen-to-bench reasoning, organism workup, and AST-guided reporting","confirmed","workflow concept distributed across multiple spec nodes"
"module","chemical-pathology-core","Chemical Pathology","Chemical Pathology > Specimen Collection and Processing","nearest-valid-deep","moderate","high-yield","recognize | interpret | calculate | select-next-test | quality-regulatory","Clinical biochemistry interpretation, endocrine-metabolic patterns, and method-aware CP reasoning","confirmed","workflow concept distributed across multiple spec nodes"
